Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Captain Marvel,2019,"Ryan Fleck, Anna Boden","['Science Fiction', 'Action', 'Adventure']",2.5,2.73,124,['USA'],English,['English'],1470555,215678,241949,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law', 'Annette Bening', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Clark Gregg', 'Rune Temte', 'Algenis Perez Soto', 'Mckenna Grace', 'Akira Akbar', 'Matthew Maher', 'Chuku Modu', 'Vik Sahay', 'Colin Ford', 'Kenneth Mitchell', 'Stephen A. Chang', 'Pete Ploszek', ""Matthew 'Spider' Kimmel"", ""Stephen 'Cajun' Del Bagno"", 'London Fuller', 'Azari Akbar', 'Mark Daugherty', 'Diana Toshiko', 'Barry Curtis', 'Emily Ozrey', 'Abigaille Ozrey', 'Marilyn Brett', 'Stan Lee', 'Robert Kazinsky', 'Nelson Franklin', 'Patrick Brennan', 'Patrick Gallagher', 'Ana Ayora', 'Lyonetta Flowers', 'Rufus Flowers', 'Sharon Blynn', 'Auden L. Ophuls', 'Harriet L. Ophuls', 'Matthew Bellows', 'Richard Zeringue', 'Duane Henry', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle', 'Mark Ruffalo', 'Kelly Sue DeConnick', ""Vinny O'Brien"", 'Joey Courteau', 'Anthony Molinari']",['Marvel Studios'],https://letterboxd.com//film/captain-marvel/
Aquaman,2018,James Wan,"['Fantasy', 'Action', 'Adventure']",3,2.8,143,['USA'],English,['English'],789241,102012,114959,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin', 'Michael Beach', 'Randall Park', 'Graham McTavish', 'Leigh Whannell', 'Tainui Kirkwood', 'Tamor Kirkwood', 'Denzel Quirke', 'Kaan Guldur', 'Otis Dhanji', 'Kekoa Kekumano', 'Julie Andrews', 'John Rhys-Davies', 'Djimon Hounsou', 'Andrew Crawford', 'Sophia Forrest', 'Natalia Safran', 'Micah Ohlman', 'Jack Andrew', 'Frankie Creagh-Leslie', 'Sophia Emberson-Bain', 'Ilya Melnikoff', 'Hank Amos', 'Kyryl Koltsov', 'Patrick Cox', 'Luke Owen', 'Robert Longstreet', 'Devika Parikh', 'Sonny Le', 'Jon Fabian', 'Mabel Tamone', 'Rita Dinardo', 'Anthony Standish', 'Nicolette Bianca', 'Victor Leto', 'Vincent B. Gorce', 'Gabriella Petkova', 'Oriana Lacono', 'Pearl Grantham', 'Noa Tsuchiya', 'Alice Lanesbury', 'Nicolas Bosc', 'Joshua Levinson', 'Jordy Campbell', 'Braden Lewis']","['Warner Bros. Pictures', 'The Safran Company', 'DC Films']",https://letterboxd.com//film/aquaman-2018/
Bird Box,2018,Susanne Bier,"['Thriller', 'Drama', 'Horror']",3.5,2.83,124,['USA'],English,['English'],1042102,49739,132815,"['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson', 'Jacki Weaver', 'Rosa Salazar', 'Danielle Macdonald', 'Lil Rel Howery', 'Tom Hollander', 'Machine Gun Kelly', 'BD Wong', 'Pruitt Taylor Vince', 'Vivien Lyra Blair', 'Julian Edwards', 'Parminder Nagra', 'Rebecca Pidgeon', 'Amy Gumenick', 'Taylor Handley', 'Happy Anderson', 'Kyle Beatty', 'Ashley Alva', 'David Dastmalchian', 'Keith Jardine', 'Kristopher Logan', 'Shirley Butler', 'Aden Calderon', 'Chanon Finley', 'Frank Mottek', 'Danny Max', 'Debra Mark', 'Dennis Keiffer']","['Bluegrass Films', 'Chris Morgan Productions']",https://letterboxd.com//film/bird-box/
Bohemian Rhapsody,2018,Bryan Singer,"['Drama', 'Music']",3.5,3.38,135,"['UK', 'USA']",English,['English'],1494166,100342,377825,"['Rami Malek', 'Gwilym Lee', 'Ben Hardy', 'Joseph Mazzello', 'Lucy Boynton', 'Aidan Gillen', 'Allen Leech', 'Tom Hollander', 'Mike Myers', 'Aaron McCusker', 'Meneka Das', 'Ace Bhatti', 'Priya Blackburn', 'Max Bennett', 'Dermot Murphy', 'Dickie Beau', 'Jack Roth', 'Neil Fox-Roberts', 'Jess Radomska', 'Michelle Duncan', 'Ross Green', 'Bruce Mackinnon', 'Joshua Higgott', 'Pat Lally', 'William Owen', 'Philip Andrew', 'Tim Plester', 'Felipe Bejarano', 'Kieran Hardcastle', 'Martin Oelbermann', 'Ian Gabriel Dumdum', 'Matt Greenwood', 'Royce Cronin', 'James MacLaren', 'Andrew Bowerman', 'Drew P.', 'Haf Gibson', 'Honor Hellon', 'Rosy Benjamin', 'Leila Crerar', 'Katherine Newman', 'Adam Rauf', 'Peter Howe', 'John Ottman', 'James Wallace', 'Matthew Houston', 'Scott Morrison Watson', 'Devlin Lloyd', 'Stefan Kopiecki', 'Garry Summers', 'Matthew Fredricks', 'Ian Jareth Williamson', 'Adam Lazarus', 'Johanna Thea', 'Adam Lambert', 'Andreea Helen David', 'Jason Lines', 'Adam James Johnston']","['20th Century Fox', 'Regency Enterprises', 'GK Films', 'TSG Entertainment']",https://letterboxd.com//film/bohemian-rhapsody/
Green Book,2018,Peter Farrelly,"['Drama', 'History']",3,3.67,130,['USA'],English,"['English', 'Italian', 'Russian']",674202,82722,169824,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco', 'Dimiter D. Marinov', 'Mike Hatton', 'P.J. Byrne', 'Joe Cortese', 'Maggie Nixon', 'Von Lewis', 'Jon Sortland', 'Don Stark', 'Anthony Mangano', 'Paul Sloan', 'Quinn Duffy', 'Seth Hurwitz', 'Hudson Galloway', 'Gavin Foley', 'Rodolfo Vallelonga', 'Louis Venere', 'Frank Vallelonga', 'Don DiPetta', 'Jenna Laurenzo', 'Suehyla El-Attar', 'Kenneth Israel', 'Derrick Spears', 'Johnny Williams', 'Randal Gonzalez', 'Iqbal Theba', 'Sharon Landry', 'Nick Vallelonga', 'David An', 'Mike Cerrone', 'Peter Gabb', 'Gertrud Sigle', 'Geraldine Singer', 'Ron Flagge', 'Martin Bats Bradford', 'Ted Huckabee', 'Gralen Bryant Banks', 'Sam Malone', 'Floyd Miles', 'David Kallaway', 'James W. Evermore', 'Harrison Stone', 'Ricky Muse', 'Tom Virtue', 'Christina Simpkins', 'Kermit Burns III', 'Lindsay Brice', 'Shane Partlow', 'Daniel Greene', 'Brian Distance', 'Craig DiFrancia', 'Dennis W. Hall', 'Leslie Castay', 'David Simpson', 'Jim Klock', 'Billy Breed', 'Dane Rhodes', 'Brian Stepanek', 'Jon Michael Davis', 'Montrel Miller', 'Ninja N. Devoe', 'Brian Hayes Currie']","['Participant', 'DreamWorks Pictures', 'Cinetic Media', 'Innisfree Pictures', 'Alibaba Pictures Group']",https://letterboxd.com//film/green-book/
Capernaum,2018,Nadine Labaki,['Drama'],4.5,4.11,126,"['Cyprus', 'France', 'Lebanon', 'Qatar', 'UK', 'USA']",Arabic,"['Arabic', 'Amharic']",93768,27218,28826,"['Zain Al Rafeea', 'Yordanos Shifera', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad', 'Fadi Kamel Yousef', 'Cedra Izzam', 'Alaa Chouchnieh', 'Elias Khoury', 'Nadine Labaki', 'Nour el Husseini', 'Joseph Jimbazian', 'Samira Chalhoub', 'Farah Hasno']","['Boo Pictures', 'Mooz Films', 'Cedrus Invest Bank', 'Clandestino Filmes', 'DFI', 'KNM Films', 'Les Films des Tournelles', 'Louverture Films', 'Open City Films', 'Sunnyland Film', 'The Bridge Production', 'Sony Pictures Classics', 'Wild Bunch']",https://letterboxd.com//film/capernaum/
Deadpool 2,2018,David Leitch,"['Action', 'Comedy', 'Adventure']",4,3.46,120,['USA'],English,"['English', 'Cantonese', 'Russian', 'Spanish']",1328805,109172,315311,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy', 'Eddie Marsan', 'Shioli Kutsuna', 'Stefan Kapičić', 'Randal Reeder', 'Nikolai Witschl', 'Thayr Harris', 'Rob Delaney', 'Lewis Tan', 'Bill Skarsgård', 'Terry Crews', 'Brad Pitt', 'Paul Wu', 'Robert Maillet', 'Alan Tudyk', 'Matt Damon', 'Michasha Armstrong', 'Joe Doserro', 'Hayley Sales', 'Islie Hirvonen', 'Jagua Arneja', 'Gerry South', 'Mike Dopud', 'Luke Roessler', 'Andy Canete', 'Tanis Dolman', 'Eleanor Walker', 'Hunter Dillon', 'Sala Baker', 'Sonia Sunger', 'Paul Wernick', 'Rhett Reese', 'Abiola Uthman', 'Tony Bailey', 'Alex Kliner', 'Elaine Kliner', 'David Leitch', 'Alicia Morton', 'Andre Tricoteux', 'Lisa Bunting', 'Miles Ellis', 'Lars Grant', 'Sam Hargrave', 'Nicholas Hoult', 'Simon MacIntyre', 'James McAvoy', 'Evan Peters', 'Tye Sheridan', 'Alexandra Shipp', 'Kodi Smit-McPhee', 'Scott Vickaryous', 'Dan Zachary', 'Hugh Jackman']","['Maximum Effort', 'Genre Films', '20th Century Fox']",https://letterboxd.com//film/deadpool-2/
Ant-Man and the Wasp,2018,Peyton Reed,"['Adventure', 'Action', 'Science Fiction']",2.5,2.93,119,['USA'],English,['English'],1147651,185499,191351,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'T.I.', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson', 'Randall Park', 'Michelle Pfeiffer', 'Laurence Fishburne', 'Michael Douglas', 'Divian Ladwa', 'Goran Kostić', 'Rob Archer', 'Sean Kleier', 'Benjamin Byron Davis', 'Michael Cerveris', 'Riann Steele', 'Dax Griffin', 'Hayley Lovitt', 'Langston Fishburne', 'RaeLynn Bratten', 'Madeleine McGraw', 'Tim Heidecker', 'Stan Lee', 'Charles Justo', 'Brian Huskey', 'Suehyla El-Attar', 'Julia Vera', 'Jessica Winther', 'Norwood Cheek', 'Bryan Lugo', 'Ana Maria Quintana', 'Darcy Shean', 'Blake Vogt', 'Torrey Vogel', 'Simon Potter', 'Jon Wurster', 'Tom Scharpling', 'Virginia Hamilton', 'Jessica Castro', 'Reggie Aqui', 'Natasha Zouves', 'Mike Nicco', 'Alexis Smith', 'Mika Kubo', 'Joshua Mikel', 'Chris Gann', 'Sergio Briones', 'Denney Pierce', 'Vanessa Ross', 'Zachary Culbertson', 'Steven Wiig', 'Timothy Carr', 'Sawyer D. Jones', 'Rick Richardson', 'Benjamin Weaver', 'Jamel Chambers', 'Jennifer Black', 'Sandra Dee Richardson', 'Dale Liner', 'John Ozuna', 'Marcella Bragio', 'Sophia Marcs', 'William W. Barbour', 'Kevin Carscallen', 'Seth McCracken', 'Andy Arness', 'James Siderits', 'Tahseen Ghauri']",['Marvel Studios'],https://letterboxd.com//film/ant-man-and-the-wasp/
Avengers: Infinity War,2018,"Anthony Russo, Joe Russo","['Action', 'Science Fiction', 'Adventure']",3.5,3.95,149,['USA'],English,"['English', 'Xhosa']",2602138,321492,920255,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle', 'Zoe Saldaña', 'Karen Gillan', 'Elizabeth Olsen', 'Paul Bettany', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Idris Elba', 'Danai Gurira', 'Peter Dinklage', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Gwyneth Paltrow', 'Benicio del Toro', 'Josh Brolin', 'Chris Pratt', 'Sean Gunn', 'William Hurt', 'Letitia Wright', 'Terry Notary', 'Tom Vaughan-Lawlor', 'Carrie Coon', 'Michael James Shaw', 'Stan Lee', 'Winston Duke', 'Florence Kasumba', 'Kerry Condon', 'Monique Ganderton', 'Jacob Batalon', 'Tiffany Espensen', 'Isabella Amara', 'Ethan Dizon', 'Ariana Greenblatt', 'Ameenah Kaplan', 'Ross Marquand', 'Michael Anthony Rogers', 'Stephen McFeely', 'Aaron Lazar', 'Robert Pralgo', 'Olaniyan Thurmon', 'Blair Jasin', 'Matthew Zuk', 'Laura Miller', 'Kenneth Branagh', 'Samuel L. Jackson', 'Cobie Smulders', 'Harrison Osterfield', 'Gary Peebles', 'Marija Abney', 'Zola Williams', 'Marie Mouroum', 'James Siderits', 'Precious Jenkins', 'Bobby James']",['Marvel Studios'],https://letterboxd.com//film/avengers-infinity-war/
A Quiet Place,2018,John Krasinski,"['Drama', 'Science Fiction', 'Horror']",4,3.65,91,['USA'],English,['English'],1628420,149024,472489,"['John Krasinski', 'Emily Blunt', 'Millicent Simmonds', 'Noah Jupe', 'Cade Woodward', 'Leon Russom', 'Rhoda Pell', 'Ezekiel Cavoli', 'Evangelina Cavoli']","['Paramount', 'Platinum Dunes']",https://letterboxd.com//film/a-quiet-place-2018/
Red Sparrow,2018,Francis Lawrence,"['Mystery', 'Thriller']",2.5,2.87,140,"['Hungary', 'USA']",English,['English'],186763,20841,21539,"['Jennifer Lawrence', 'Joel Edgerton', 'Matthias Schoenaerts', 'Charlotte Rampling', 'Jeremy Irons', 'Ciarán Hinds', 'Joely Richardson', 'Mary-Louise Parker', 'Bill Camp', 'Douglas Hodge', 'Thekla Reuten', 'Sakina Jaffrey', 'Sergei Polunin', 'Kristof Konrad', ""Nicole O'Neill"", 'Sergej Onopko', 'Dávid Miller', 'Sasha Frolova', 'Hugh Quarshie', 'Sebastian Hülk', 'Joel de la Fuente', 'Judit Rezes', 'Makar Zaporozhskiy', 'Tom Morley', 'Louis Hofmann', 'Ingeborga Dapkūnaitė', ""Chris O'Hara"", 'Kata Pálfi', 'Karen Gagnon', 'Zsolt Vicei', 'Anger Zsolt', 'Attila Árpa', 'Simon Szabó', 'Judit Viktor', 'Bálint Adorjáni', 'Tanya Vital', 'Kincsõ Pethõ', 'Lauren Glazier', 'Scott Alexander Young', 'Isabella Boylston']","['Chernin Entertainment', '20th Century Fox', 'TSG Entertainment', 'Film Rights']",https://letterboxd.com//film/red-sparrow/
Annihilation,2018,Alex Garland,"['Horror', 'Science Fiction']",3.5,3.58,115,"['UK', 'USA']",English,['English'],829296,133182,222005,"['Natalie Portman', 'Jennifer Jason Leigh', 'Gina Rodriguez', 'Tessa Thompson', 'Tuva Novotny', 'Oscar Isaac', 'Benedict Wong', 'Sonoya Mizuno', 'David Gyasi', 'John Schwab', 'Sammy Hayman', 'Josh Danford', 'Kristen McGarrity', 'Kumud Pant', 'Honey Holmes', 'Hiten Patel', 'Kola Bokinni', 'Odette Michell', 'Cosmo Jarvis', 'Daniel Prewitt', 'Matthew Simpson']","['Paramount', 'Skydance', 'DNA Films', 'Scott Rudin Productions']",https://letterboxd.com//film/annihilation/
Black Panther,2018,Ryan Coogler,"['Adventure', 'Science Fiction', 'Action']",3,3.64,135,['USA'],English,"['English', 'Korean', 'Swahili', 'Xhosa']",2413781,267022,781232,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Florence Kasumba', 'John Kani', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis', 'David S. Lee', 'Nabiyah Be', 'Isaach De Bankolé', 'Connie Chiume', 'Dorothy Steel', 'Danny Sapani', 'Sydelle Noel', 'Marija Abney', 'Zola Williams', 'Janeshia Adams-Ginyard', 'Maria Hippolyte', 'Marie Mouroum', 'Jénel Stevens', 'Sope Aluko', 'Stan Lee', 'Atandwa Kani', 'Ashton Tyler', 'Denzel Whitaker', 'Shaunette Renée Wilson', 'Christine Hollingsworth', 'Lucy Hockings', 'Bambadjan Bamba', 'Roland Kilumbu', 'Jermaine Holt', 'Dominique Elijah Smith', 'Jalil Jay Lynch', 'Vaughndio Forbes', 'Sasha Morfaw', 'Alexis Louder', 'Francesca Faridany', 'Mark Ashworth', 'Seth Carr', 'Jeremy Sample', 'Chad Crumley', 'Alexis Rhee', 'Danny Chung', 'Liz Elkins Newcomer', 'Tony Sears', 'Alex C. Riley Hughes', 'Clifford Gay', 'Shamel Heath', ""De'Jon Watts"", 'Alex Hibbert', 'Tristan Timmons', 'Tyler Timmons', 'Abraham Clinkscales', 'Thabo Moropane', 'Zani Mogodi', 'Zenzi Williams', 'Trevor Noah', 'T. Love', 'Sebastian Stan']",['Marvel Studios'],https://letterboxd.com//film/black-panther/
Hereditary,2018,Ari Aster,"['Thriller', 'Horror', 'Mystery']",4.5,3.98,128,['USA'],English,['English'],1693228,296225,634995,"['Toni Collette', 'Gabriel Byrne', 'Alex Wolff', 'Milly Shapiro', 'Ann Dowd', 'Mallory Bechtel', 'Brock McKinney', 'Jake Brown', 'Morgan Lund', 'Christy Summerhays', 'Bus Riley', 'Jarrod Phillips', 'Heidi Mendez', 'Zachary Arthur', 'David Stanley', 'Moises L. Tovar', 'Austin R. Grant', 'Gabriel Monroe Eckert', 'Harrison Nell', 'BriAnn Rachele', 'Ari Aster', 'Marilyn Miller', 'Mark Blockovich', 'Rachelle Hardy', 'Jason Miyagi', 'Lorenzo Silva', 'Alexis Long']",['PalmStar Media'],https://letterboxd.com//film/hereditary/
Arif V 216,2018,Kıvanç Baruönü,"['Comedy', 'Adventure', 'Science Fiction']",2.5,2.91,125,['Turkey'],Turkish,['Turkish'],33569,915,1433,"['Cem Yılmaz', 'Ozan Güven', 'Seda Bakan', 'Özkan Uğur', 'Zafer Algöz', 'Özge Özberk', 'Farah Zeynep Abdullah', 'Çağlar Çorumlu', 'Mert Fırat', 'Şükrü Özyıldız', 'Mariya Anastasyeva', 'Ahu Yağtu', 'Murat Arkın', 'Ediz Hun', 'Kerem Alışık', 'Özgür Emre Yıldırım', 'Can Yılmaz', 'Kubilay Aka', 'Zeynep Kankonde', 'Mustafa Sandal', 'Levent İntepe', 'Kevork Türker', 'Salih Usta', 'Tuncay Beyazıt', 'Tarkan']","['Nulook Production', 'CMYLMZ Fikirsanat']",https://letterboxd.com//film/arif-v-216/
Star Wars: The Last Jedi,2017,Rian Johnson,"['Adventure', 'Action', 'Science Fiction']",4,3.0,152,['USA'],English,['English'],1519697,191138,297900,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels', 'Gwendoline Christie', 'Kelly Marie Tran', 'Laura Dern', 'Benicio del Toro', 'Frank Oz', 'Billie Lourd', 'Joonas Suotamo', 'Amanda Lawrence', 'Jimmy Vee', 'Brian Herring', 'Dave Chapman', 'Justin Theroux', 'Tim Rose', 'Tom Kane', 'Adrian Edmondson', 'Mark Lewis Jones', 'Hermione Corfield', 'Veronica Ngo', 'Noah Segan', 'Jamie Christopher', 'Paul Kasey', 'Michaela Coel', 'Priyanga Burford', 'Navin Chowdhry', 'Crystal Clarke', 'Hugh Skinner', 'Shauna Macdonald', 'Kate Dickie', 'Ralph Ineson', 'Michael Jibson', 'Luke Neal', 'Andy Nyman', 'Lily Cole', 'Warwick Davis', 'Kiran Shah', 'Joseph Gordon-Levitt', 'Mike Quinn', 'Gareth Edwards', 'Gary Barlow', 'Peter Mayhew', 'Edgar Wright', 'Joe Cornish', 'Griffin Hamill', 'Nathan Hamill', 'Chelsea Hamill', 'Yang Liang', 'David M. Santana', 'Andrew Jack', 'Jonathan Harden', 'Danny Euston', 'Aki Omoshaybi', 'Togo Igawa', 'Tim Steed', 'Simon Lowe', 'Joe Van Moyland', 'Darren Morfitt', 'Gerard Monaco', ""Patrick O'Kane"", 'Paul Bazely', 'Orion Lee', 'Amira Ghazalla', 'Akshay Kumar', 'Temirlan Blaev', 'Josiah Oniha', 'Sara Heller', 'Matthew Sharp', 'Jack Greenlees', 'Danny Sapani', 'Kevin Layne', 'Ben Morris', 'Andrew Abbott', 'Chris Adams', 'Samantha Alleyne', 'Martin Bratanov', 'Glen Carroll', 'Cavin Cornwall', 'James Cox', 'Steve Doyle', 'Josh Dyer', 'Karl Farrer', 'James Filanowski', 'David R. Grant', 'Ómar Guðjónsson', 'Craig Izzard', 'Christopher Jaciow', 'Tobias James-Samuels', 'Dan Lam', 'Antonio Lujak', 'Josh Methven', 'Sandeep Mohan', 'Ross Moneypenny', 'Florian Robin', 'Scott Tanner', 'Stephanie Silva', 'Clem So', 'Leo Thompson', 'Andy Wareham', 'William Willoughby', 'Oscar Wright', 'Karanja Yorke']",['Lucasfilm Ltd.'],https://letterboxd.com//film/star-wars-the-last-jedi/
Wonder,2017,Stephen Chbosky,"['Family', 'Drama']",4,3.5,113,['USA'],English,['English'],429027,33908,81092,"['Jacob Tremblay', 'Julia Roberts', 'Owen Wilson', 'Izabela Vidovic', 'Noah Jupe', 'Millie Davis', 'Bryce Gheisar', 'Mandy Patinkin', 'Danielle Rose Russell', 'Daveed Diggs', 'Elle McKinnon', 'Ali Liebert', 'Nadji Jeter', 'Ty Consiglio', 'Kyle Breitkopf', 'James A Hughes', 'Nicole Oliver', 'Rachel Hayward', 'Yan-Kay Crystal Lowe', 'Steve Bacic', 'Ben Immanuel', 'Sônia Braga', 'Izzy Lieberman', 'Hannah Hoberman', 'Erika McKitrick', 'Lucia Thain', 'Emily Delahunty', 'Sasha Neuhaus', 'William Dickinson', 'Armen Bagdasarov', 'Emma Tremblay', 'Lidya Jewett', 'Kaelyn Breitkopf', 'Emily Giannozio', 'Haley Goldin', 'Cameron Roberts', 'Grayson Maxwell Gurnsey', 'Maccie Margaret Chbosky', 'Gidget', 'Victoria Cruz', 'Laura Mozgovaya', 'Darcy Rose Byrnes', 'Jason McKinnon', 'Brayden Snow', 'Brooke D. Singleton', 'Andre Robinson', 'Alyssa Andronyk', 'Jason Tremblay', 'Wilson Chieng', 'Dallas Snow', 'Justin Snow', 'Kayzhia Snow', 'Amber Snow', 'Elayna Sing', 'Ann Evans', 'Mark Dozlaw', 'Abigail Friend', 'Razvan Orban', 'Kari Staten', 'Sean Ryan Fox']","['Lionsgate', 'Participant', 'Walden Media', 'Mandeville Films']",https://letterboxd.com//film/wonder-2017/
Justice League,2017,Zack Snyder,"['Adventure', 'Science Fiction', 'Action']",3,1.93,120,['USA'],English,['English'],673101,89025,46309,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen', 'J.K. Simmons', 'Ciarán Hinds', 'Amber Heard', 'Joe Morton', 'Lisa Loven Kongsli', 'Ingvar E. Sigurðsson', 'David Thewlis', 'Sergi Constance', 'Julian Lewis Jones', 'Salome R. Gunnarsdottir', 'Ágústa Eva Erlendsdóttir', 'Björt Sigfinnsdóttir', 'Michael McElhatton', 'John Dagleish', 'Chris Courtenay', 'Heather Imbeah', 'Carla Turner', 'Lara Decaro', 'Serene Angus', 'Anna Burgess', 'Mia Burgess', 'Alison Chang', 'Constance Bole', 'Shahla Ayamah', 'Richard Clifford', 'Will Austin', 'Kobna Holdbrook-Smith', 'Rebecca C. Perfect', 'Francis Magee', 'Védís Vífilsdóttir', 'Snæfríður Rán Aðalsteins', 'Grace Cookey-Gam', 'Matthew Bates', 'Charlotte Comer', 'Doutzen Kroes', 'Brooke Ence', 'Hari James', 'Ann Ogbomo', 'Samantha Win', 'Marc McClure', 'Paul Foulds', 'Anthony Wise', 'Martin Troakes', 'Gianpiero Cognoli', 'Jérôme Pradon', 'Orion Lee', 'Oliver Gatz', 'Rachel Blenkiron', 'Lynne Anne Rodgers', 'Oliver Powell', 'Aurore Lauzeral', 'Frazer Hammill', 'JK. Glynn', 'Patrick Connolly', 'Ninaz Khodaiji', 'Rosa Escoda', 'Joe Reisig', 'Vaughn Johseph', 'Tara Ward', 'Jack Yang', 'Bruce Johnson', 'Peter Henderson', 'Yoni Roodner', 'Molly Shenker', 'Tomi May', 'Kasha Bajor', 'Dan Mersh', 'Nathan Wiley', 'Caitlin Burles', 'Melanie Gray', 'Katia Elizarova', 'Gemma Refoufi', 'Leila Reid', 'Suan-Li Ong', 'Tina Balthazar', 'Penny Lane', 'Stephanie Haymes-Roven', 'Kelly Burke', 'Keith Simpson', 'Gary A. Hecker', 'Holt McCallany', 'Paulina Boneva', 'Billy Crudup', 'Eleanor Matsuura', 'Jesse Eisenberg', 'Joe Manganiello', 'Daniel Stisen', 'Robin Wright', 'Bruce Lester-Johnson', 'Xenia Leblanc', 'Ayman Khechini']","['RatPac Entertainment', 'Cruel & Unusual Films', 'Atlas Entertainment', 'Warner Bros. Pictures', 'DC Films']",https://letterboxd.com//film/justice-league/
Blade Runner 2049,2017,Denis Villeneuve,"['Science Fiction', 'Drama']",5,4.13,164,"['Canada', 'UK', 'USA']",English,"['English', 'Finnish', 'Hungarian', 'Japanese', 'Russian', 'Somali', 'Spanish']",1454781,250464,553325,"['Ryan Gosling', 'Harrison Ford', 'Ana de Armas', 'Sylvia Hoeks', 'Robin Wright', 'Jared Leto', 'Mackenzie Davis', 'Carla Juri', 'Lennie James', 'Sean Young', 'Edward James Olmos', 'Dave Bautista', 'David Dastmalchian', 'Hiam Abbass', 'Barkhad Abdi', 'Wood Harris', 'Tómas Lemarquis', 'Sallie Harmsen', 'Loren Peta', 'Mark Arnold', 'Krista Kosonen', 'Elarica Johnson', 'David Benson', 'Kingston Taylor', 'Ben Thompson', 'Ellie Wright', 'Suzie Kennedy', 'Stephen Triffitt', 'Vilma Szécsi', 'Kincsö Sánta', 'André Lukács Molnár', 'István Göz', 'Pál Nyári', 'Joshua Tersoo Allagh', 'Zoltán Béres', 'Konstantin Pál', 'Ferenc Györgyi', 'Samuel Brown', 'Mary Lukasiewicz', 'Deniz Altunay']","['Alcon Entertainment', 'Columbia Pictures', 'Scott Free Productions', 'Bud Yorkin Productions', 'Torridon Films', '16:14 Entertainment', 'Thunderbird Entertainment']",https://letterboxd.com//film/blade-runner-2049/
